,상호명
349,둥지잔치국수
350,엄한백숙
352,계곡가든
353,화로돈
354,셈's샌&샐
355,잔치국수
356,해피푸드
357,Kitchen.Lee.
358,장군야식
359,bhc군위점
360,우리동네포차
361,한밤국수한그릇
362,Allie(앨리) 살롱드 테
363,써니
364,(주)영양숯불갈비
365,가삼골전복순두부
366,감포별미횟집
367,감포중매인 참가자미 횟집
368,강남숯불식당
369,경상도추어탕식당
370,경주꽃게장
371,고두반
372,고래등횟집
373,고미정
374,고색창연
375,금성관
376,금오정
377,기와골맷돌순두부
378,낙지마실
379,누릉지삼계탕본마실
380,늘푸른참가자미횟집
381,달보드레수육전문점
382,대관령동태찌게(동천점)
383,대광복집
384,독도회식당
385,돌고래 회 식당
386,동궁 반점
387,동주복집
388,둘둘오리(안강점)
389,만수로회센터
390,물방아삼계탕
391,바다회식당
392,버들류가네곰탕(충효본점)
393,별채반교동쌈밥
394,보문한우셀프구이식당
395,산내산천매운탕
396,산드레
397,산성숯불갈비식당
398,삼도숯불갈비식당
399,삼영식당
400,샤브향
401,석하한정식
402,송원숯불갈비
403,수리뫼
404,수석정
405,순우
406,식객
407,쑥부쟁이
408,아리랑
409,아리랑식당
410,암소원 식당
411,압구정갈비식당
412,약수삼계탕
413,양경승숯불갈비
414,어향원
415,영남식육식당
416,오대양칼국수
417,외바우
418,요남자경북경주점
419,요석궁식당
420,용장골순두부
421,원조암소숯불구이
422,월지향
423,장수두부촌
424,전촌참가자미회
425,점심밥상 저녁술상
426,정수가성
427,정이품쭈꾸미
428,정코다리경주점
429,정화
430,정회(서부점)
431,종가집식당
432,주식회사 맷돌순두부
433,진수성찬
434,천년미가
435,청하숯불식당
436,청하한정식
437,초원삼계탕
438,최가칡냉면
439,콩이랑주식회사
440,토함민속식당
441,토함산식당
442,푸른가든
443,풀잎채보문점
444,풍년참가자미회식당
445,하연지
446,한방생오리불고기
447,호박고을
448,홍시한정식
449,황금덕장(경주불국사점)
450,감포일출복어
451,스시드새우
452,엄마곰탕
